Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
301,Star Wars Battlefront II (2017),Shooter,T,PS4,Electronic Arts,EA DICE,,,,4.53,1.7,1.99,0.12,0.73,2017
302,Dead Island,Action,M,PC,Deep Silver,Techland,7.1,,4.52,,,,,,2011
303,Arma 2: Operation Arrowhead,Shooter,,PC,Unknown,Bohemia Interactive,,,4.51,,,,,,2011
304,ARK: Survival Evolved,Action-Adventure,T,PC,Studio Wildcard,Studio Wildcard,,,4.5,,,,,,2015
305,Riven: The Sequel to Myst,Adventure,E,PC,Red Orb,Cyan Worlds,,,4.5,,,,,,1997
306,StarCraft II: Wings of Liberty,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,4.5,,,,,,2010
307,Warcraft III: Reign of Chaos,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,4.5,,,,,,2002
308,Pitfall!,Platform,,2600,Activision,Activision,,,,4.5,4.21,0.24,,0.05,1982
309,Professor Layton and the Curious Village,Adventure,E,DS,Nintendo,Level 5,8.7,,4.49,,,,,,2008
310,Madden NFL 07,Sports,E,PS2,EA Sports,EA Tiburon,8.5,,,4.49,3.63,0.24,0.01,0.61,2006
311,Spider-Man: The Movie,Action,E,PS2,Activision,Treyarch,8.2,,,4.48,2.71,1.51,0.03,0.23,2002
312,Nintendogs + cats,Simulation,E,3DS,Nintendo,Nintendo EAD,7.2,,4.48,,,,,,2011
313,The Elder Scrolls IV: Oblivion,Role-Playing,M,X360,Take-Two Interactive,Bethesda Softworks,9.2,,,4.47,2.89,1.03,0.13,0.41,2009
314,The Legend of Zelda: The Wind Waker,Adventure,E,GC,Nintendo,Nintendo EAD,9.6,,4.43,,,,,,2003
315,Tony Hawk's Pro Skater 3,Sports,T,PS2,Activision,Neversoft Entertainment,9.1,,,4.41,2.66,1.29,0.01,0.46,2001
316,Winning Eleven: Pro Evolution Soccer 2007,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.8,,,4.39,0.1,2.39,1.05,0.86,2007
317,Zelda II: The Adventure of Link,Adventure,,NES,Nintendo,Nintendo EAD,,,4.38,,,,,,1988
318,Michael Jackson: The Experience,Misc,E10,Wii,Ubisoft,Ubisoft Montpellier,5.6,,,4.37,2.64,1.33,0.01,0.39,2010
319,Tom Clancy's The Division,Shooter,M,PS4,Ubisoft,Massive Entertainment,,,,4.37,1.49,2.04,0.16,0.69,2016
320,Need for Speed: Most Wanted,Racing,T,PS2,Electronic Arts,EA Canada,8.6,,,4.37,2.03,1.79,0.08,0.47,2005
321,Resistance: Fall of Man,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.5,9.1,,4.37,1.74,1.72,0.14,0.76,2006
322,Tom Clancy's Rainbow Six: Siege,Shooter,,PS4,Ubisoft,Ubisoft Montreal,,,,4.36,1.29,2.06,0.36,0.64,2015
323,Call of Duty: Advanced Warfare,Shooter,M,X360,Activision,High Moon Studios,9.1,,,4.34,2.81,1.13,0,0.41,2014
324,Watch Dogs,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,,,,4.32,1.4,2.13,0.11,0.68,2014
325,Animal Crossing: City Folk,Simulation,E,Wii,Nintendo,Nintendo EAD,7.1,8.8,4.32,,,,,,2008
326,Starbound,Misc,,PC,"Infocom, Inc.",Unknown,,,4.31,,,,,,2014
327,Asteroids,Shooter,,2600,Atari,Atari,,,,4.31,4,0.26,,0.05,1981
328,Dragon Quest VII,Role-Playing,T,PS,Enix,Heart Beat,8,,4.3,,,,,,2001
329,Monster Hunter Generations,Action,T,3DS,Capcom,Capcom,8.8,,4.3,,,,,,2016
330,Batman: Arkham Asylum,Action,T,PS3,Eidos Interactive,Rocksteady Studios,9,,,4.28,2.26,1.33,0.07,0.63,2009
331,Call of Duty: Advanced Warfare,Shooter,M,PS3,Activision,High Moon Studios,9.1,,,4.27,1.59,1.81,0.2,0.67,2014
332,God of War II,Action,M,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,9.8,4.24,,,,,,2007
333,Namco Museum,Misc,E,GBA,Namco,Mass Media,,,,4.24,3,1.11,0.05,0.07,2001
334,Daxter,Platform,E10,PSP,Sony Computer Entertainment,Ready at Dawn,8.6,,,4.23,2.45,1.02,,0.77,2006
335,Super Paper Mario,Platform,E,Wii,Nintendo,Intelligent Systems,8.5,,4.23,,,,,,2007
336,Assassin's Creed: Revelations,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,,4.23,1.41,2.03,0.1,0.69,2011
337,Metal Gear Solid 3: Snake Eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,9,,,4.23,1.46,0,0.83,1.93,2004
338,Assassin's Creed: Revelations,Action,M,X360,Ubisoft,Ubisoft Montreal,7.9,,,4.22,2.28,1.47,0.04,0.44,2011
339,FIFA Soccer 06,Sports,E,PS2,EA Sports,EA Canada,8.4,,,4.21,0.78,2.55,0.04,0.84,2005
340,Monster Hunter 4 Ultimate,Role-Playing,T,3DS,Capcom,Capcom,8.8,,4.2,,,,,,2015
341,Street Fighter IV,Fighting,T,PS3,Capcom,Capcom / Dimps Corporation,9.3,9,,4.19,2.04,1.05,0.59,0.52,2009
342,7 Days to Die,Action,M,PC,The Fun Pimps,The Fun Pimps,,,4.18,,,,,,2013
343,FIFA Soccer 12,Sports,E,X360,EA Sports,EA Canada,9.2,,,4.18,0.85,2.79,0.02,0.52,2011
344,Call of Duty: Ghosts,Shooter,M,PS4,Activision,Infinity Ward,7.5,,,4.17,1.79,1.64,0.05,0.69,2013
345,Teenage Mutant Ninja Turtles,Platform,,NES,Ultra Games,Konami,5.9,,,4.17,3.38,0.44,0.31,0.04,1989
346,Just Cause 2,Action,M,PC,Eidos Interactive,Avalanche Studios,8.2,,4.16,,,,,,2010
347,Excitebike,Racing,,NES,Nintendo,Nintendo R&D1,,,4.16,,,,,,1985
348,Frogger,Action,E,PS,Hasbro Interactive,Millenium Interactive,,,,4.16,3.79,0.27,,0.11,1997
349,Star Wars Battlefront (2015),Shooter,T,XOne,Electronic Arts,EA DICE,6.9,,,4.15,2.49,1.26,0.02,0.38,2015
350,FIFA 14,Sports,E,X360,EA Sports,EA Canada,,,,4.15,0.94,2.92,0.01,0.29,2013
351,Madden NFL 2003,Sports,E,PS2,EA Sports,EA Tiburon,9.4,,,4.14,3.36,0.21,0.01,0.56,2002
352,Assassin's Creed: Unity,Action,M,PS4,Ubisoft,Ubisoft Montreal,,,,4.14,1.25,2.16,0.09,0.65,2014
353,Destiny 2,Shooter,T,PS4,Activision,Bungie,,,,4.14,1.92,1.44,0.1,0.69,2017
354,Half-Life,Shooter,M,PC,Sierra Entertainment,Valve Software,9.5,,,4.12,4.03,0,0.09,,1998
355,Super Mario World 2: Yoshi's Island,Platform,E,SNES,Nintendo,Nintendo EAD,9,,4.12,,,,,,1995
356,Batman: Arkham Knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,,,4.11,1.65,1.68,0.11,0.66,2015
357,FIFA 07 Soccer,Sports,E,PS2,EA Sports,Team Fusion,8.4,,,4.11,0.71,2.48,0.03,0.89,2006
358,The Sims 4,Simulation,T,PC,Electronic Arts,Maxis,7,,,4.1,1.2,2.6,,0.3,2014
359,Monster Hunter 4,Role-Playing,,3DS,Capcom,Capcom,,,4.1,,,,,,2013
360,Street Fighter II Turbo,Fighting,,SNES,Capcom,Capcom,9,,4.1,,,,,,1993
361,Fallout: New Vegas,Role-Playing,M,X360,Bethesda Softworks,Obsidian Entertainment,8.2,,,4.08,2.67,1.03,0.04,0.34,2010
362,Assassin's Creed Origins,Action,M,PS4,Ubisoft,Ubisoft Montreal,,,,4.06,1.22,2.11,0.11,0.63,2017
363,Far Cry 4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,,,4.06,1.18,2.14,0.11,0.63,2014
364,Carnival Games,Misc,E,Wii,Global Star Software,Cat Daddy Games,4.2,,,4.06,2.12,1.47,0.05,0.42,2007
365,World Soccer Winning Eleven 9,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.9,,,4.06,0.12,2.26,0.9,0.77,2006
366,Forza Motorsport 2,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.1,,,4.05,2.35,1.27,0.03,0.41,2007
367,Namco Museum Vol.3,Misc,E,PS,Namco,Namco,,,,4.05,2.28,1.55,0.16,0.06,1997
368,Tekken Tag Tournament,Fighting,T,PS2,Namco,Namco,8.7,,,4.05,1.68,1.51,0.51,0.35,2000
369,Golf,Sports,,NES,Nintendo,Nintendo,,,4.01,,,,,,1985
370,Diablo II,Role-Playing,M,PC,Blizzard Entertainment,Blizzard North,8.8,,4,,,,,,2000
371,Disney's Aladdin,Platform,,GEN,Sega,Virgin Interactive,,,4,,,,,,1993
372,EyeToy Play,Misc,E,PS2,Sony Computer Entertainment,SCEE London Studio,7.5,,4,,,,,,2003
373,Just Dance,Misc,E10,Wii,Ubisoft,Ubisoft Paris,5.4,,4,,,,,,2009
374,Star Fox 64,Shooter,E,N64,Nintendo,Nintendo EAD,9,,4,,,,,,1997
375,Super Mario Maker,Platform,E,WiiU,Nintendo,Nintendo EAD,8.8,,4,,,,,,2015
376,World of Warcraft: Wrath of the Lich King,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,9.3,4,,,,,,2008
377,Fallout 3,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,,,4,2.18,1.15,0.07,0.61,2008
378,The Legend of Zelda: Oracle of Ages / Seasons,Adventure,E,GBC,Nintendo,Capcom,,,3.99,,,,,,2001
379,The Elder Scrolls V: Skyrim,Role-Playing,M,PC,Bethesda Softworks,Bethesda Game Studios,9.2,,,3.99,1.18,2.25,,0.56,2011
380,Namco Museum: 50th Anniversary,Misc,E10,PS2,Namco,Digital Eclipse,,,,3.98,2.08,1.35,,0.54,2005
381,NBA 2K16,Sports,E10,PS4,2K Sports,Visual Concepts,8.7,,,3.98,2.56,0.66,0.05,0.71,2015
382,Left 4 Dead 2,Shooter,M,X360,Electronic Arts,Certain Affinity / Valve Software,9,,,3.97,2.67,0.88,0.05,0.38,2009
383,Far Cry 5,Action,M,PS4,Ubisoft,Ubisoft,7.9,,,3.95,1.44,1.73,0.15,0.62,2018
384,Battlefield 4,Shooter,M,PS4,Electronic Arts,EA DICE,8.3,,,3.94,1.4,1.74,0.19,0.62,2013
385,Assassin's Creed IV: Black Flag,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.7,,,3.94,1.34,1.86,0.13,0.62,2013
386,EA Sports Active,Sports,E,Wii,EA Sports,EA Vancouver,8.3,,,3.93,2.11,1.35,0.06,0.4,2009
387,Half-Life 2: Episode One,Shooter,M,PC,Electronic Arts,Valve Software,8.7,,3.92,,,,,,2006
388,Donkey Kong Land,Platform,E,GB,Nintendo,Rare Ltd.,,,3.91,,,,,,1995
389,English Training: Have Fun Improving Your Skills!,Misc,,DS,Nintendo,Plato,,,3.91,,,,,,2006
390,Dragon Quest III,Role-Playing,,NES,Enix,ChunSoft,,8,3.9,,,,,,1992
391,Tony Hawk's Underground,Sports,T,PS2,Activision,Neversoft Entertainment,8.7,,,3.9,2.29,1.17,0.01,0.42,2003
392,Just Dance 2014,Music,E10,Wii,Ubisoft,Ubisoft Paris,7.4,,,3.89,1.91,1.66,,0.33,2013
393,Professor Layton and the Diabolical Box,Adventure,E10,DS,Nintendo,Level 5,8.5,,3.88,,,,,,2009
394,Sports Champions,Sports,E10,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,,,3.88,2.15,1.13,0.1,0.5,2010
395,MotorStorm,Racing,T,PS3,Sony Computer Entertainment,Evolution Studios,8.2,,,3.87,1.53,1.61,0.06,0.67,2007
396,World Soccer Winning Eleven 8 International,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.3,,,3.85,0.16,1.89,1.12,0.68,2005
397,Namco Museum Vol.1,Misc,E,PS,Namco,Namco,,,,3.84,2.12,1.44,0.22,0.06,1996
398,The Legend of Zelda: Link's Awakening,Adventure,E,GB,Nintendo,Nintendo EAD,,,3.83,,,,,,1993
399,Resident Evil VII: Biohazard,Action,M,PS4,Capcom,Capcom,8.6,,3.83,,,,,,2017
400,Monster Hunter Freedom Unite,Role-Playing,T,PSP,Capcom,Capcom Production Studio 1,7.7,9.7,3.8,,,,,,2009
401,Gran Turismo Sport,Racing,E,PS4,Sony Interactive Entertainment,Polyphony Digital,,,,3.77,0.63,2.35,0.24,0.54,2017
402,LEGO Indiana Jones: The Original Adventures,Adventure,E10,X360,LucasArts,Traveller's Tales,7.5,,,3.76,2.4,1.01,,0.36,2008
403,The Sims: Unleashed,Simulation,T,PC,Electronic Arts,Maxis,7.3,,,3.76,2.03,1.56,,0.17,2002
404,Tomodachi Collection,Misc,,DS,Nintendo,Nintendo SPD Group No.1,,,3.76,,,,,,2009
405,Ratchet & Clank: Size Matters,Platform,E10,PSP,Sony Computer Entertainment,High Impact Games,8.5,,,3.75,1.4,1.4,0.1,0.86,2007
406,Harry Potter and the Sorcerer's Stone,Action,E,PS,Electronic Arts,Argonaut Games,8,,,3.73,1.37,2,0.14,0.22,2001
407,Pokemon Trading Card Game,Strategy,E,GB,Nintendo,Hudson Soft,8.3,,3.72,,,,,,2000
408,FIFA 17,Sports,E,XOne,Electronic Arts,EA Canada,8.8,,,3.71,1.04,2.4,,0.27,2016
409,Spyro: Year of the Dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,9.1,,,3.71,1.93,1.58,,0.19,2000
410,The Legend of Zelda: A Link Between Worlds,Adventure,E,3DS,Nintendo,Nintendo EAD,9.3,,3.71,,,,,,2013
411,FIFA Soccer 2005,Sports,E,PS2,EA Sports,EA Canada,8.4,,,3.7,0.58,2.48,0.04,0.59,2004
412,Diablo III: Reaper of Souls,Action,,PC,Blizzard Entertainment,Blizzard Entertainment,,,3.7,,,,,,2014
413,The Legend of Zelda: Skyward Sword,Adventure,T,Wii,Nintendo,Nintendo EAD,9.4,,3.67,,,,,,2011
414,Tony Hawk's Pro Skater 4,Sports,T,PS2,Activision,Neversoft Entertainment,9.6,,,3.67,2.13,1.18,0.01,0.35,2002
415,Midnight Club 3: DUB Edition,Racing,E10,PSP,Rockstar Games,Rockstar Leeds,7.2,,,3.66,1.65,1.22,,0.79,2005
416,MySims,Simulation,E,DS,Electronic Arts,EA Redwood Shores,6.7,,,3.66,1.58,1.6,0.08,0.4,2007
417,Banjo-Kazooie,Platform,E,N64,Nintendo,Rare Ltd.,9.3,9.4,3.65,,,,,,1998
418,SOCOM: U.S. Navy SEALs,Shooter,M,PS2,Sony Computer Entertainment,Zipper Interactive,8,,,3.65,2.53,0.81,0.06,0.24,2002
419,Battlefield 4,Shooter,M,PS3,Electronic Arts,EA DICE,8.7,,,3.64,1.31,1.5,0.27,0.55,2013
420,Jak and Daxter: The Precursor Legacy,Platform,E,PS2,Sony Computer Entertainment,Naughty Dog,9,8.9,,3.64,2.08,1.09,0.15,0.33,2001
421,Pokemon Snap,Simulation,E,N64,Nintendo,HAL Laboratory,7.9,,3.63,,,,,,1999
422,Pro Evolution Soccer 2008,Sports,E,PS2,Konami,Konami,8.2,,,3.63,0.05,0,0.64,2.93,2008
423,FIFA Soccer 10,Sports,E,PS3,EA Sports,EA Canada,9,,,3.63,0.6,2.46,0.05,0.52,2009
424,Guitar Hero: World Tour,Misc,T,Wii,Activision,Vicarious Visions,8.4,,,3.62,2.32,0.96,,0.34,2008
425,Gears of War: Ultimate Edition,Shooter,M,XOne,Microsoft Studios,The Coalition,,,,3.62,2.88,0.37,,0.37,2015
426,Star Wars Battlefront,Shooter,T,PS2,LucasArts,Pandemic Studios,8.1,,,3.61,1.93,1.22,0.03,0.44,2004
427,Doom II,Shooter,M,PC,GT Interactive,id Software,9.3,,,3.61,2.05,1.4,,0.16,1994
428,The Simpsons: Road Rage,Racing,T,PS2,Electronic Arts,Radical Entertainment,6.1,,,3.61,2.02,1.17,,0.42,2001
429,BattleBlock Theater,Platform,,PC,The Behemoth,The Behemoth,,,3.61,,,,,,2014
430,Assassin's Creed Syndicate,Action,M,PS4,Ubisoft,Ubisoft Quebec,8.6,,,3.6,0.9,2.06,0.08,0.55,2015
431,Star Wars Battlefront II,Shooter,T,PS2,LucasArts,Pandemic Studios,8.5,,,3.59,2.18,1.02,0.03,0.37,2005
432,Assassin's Creed: Unity,Action,M,XOne,Ubisoft,Ubisoft Montreal,,,,3.58,2.34,0.9,0,0.34,2014
433,Cooking Mama 2: Dinner With Friends,Simulation,E,DS,Majesco,Office Create,6.9,,,3.58,1.6,1.49,0.1,0.39,2007
434,Undertale,Role-Playing,,PC,Toby Fox,Toby Fox,,,3.58,,,,,,2015
435,WWF SmackDown!,Fighting,T,PS,THQ,Yuke's,,,,3.58,2.01,1.35,0.06,0.16,2000
436,Croc: Legend of the Gobbos,Platform,E,PS,Fox Interactive,Argonaut Games,7.6,,,3.56,1.57,1.79,,0.2,1997
437,Battlefield 4,Shooter,M,X360,Electronic Arts,EA DICE,8.7,,,3.54,2.16,1.05,0.02,0.32,2013
438,Grand Theft Auto: Liberty City Stories,Action,M,PS2,Rockstar Games,Rockstar Leeds,8.3,,,3.54,1.56,1.4,0.07,0.5,2006
439,The Getaway,Action,M,PS2,Sony Computer Entertainment,Team Soho,7.7,,,3.54,1.23,1.77,0.05,0.49,2003
440,Tomb Raider III: Adventures of Lara Croft,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,8.2,,,3.54,1.66,1.58,0.12,0.18,1998
441,Batman: Arkham Asylum,Action,T,X360,Eidos Interactive,Rocksteady Studios,9.1,,,3.54,2.24,0.95,0.02,0.33,2009
442,Assassin's Creed: Brotherhood,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,,,3.53,2.87,0.39,0.03,0.25,2010
443,James Bond 007: Agent Under Fire,Shooter,T,PS2,Electronic Arts,EA Redwood Shores,,,,3.53,1.9,1.13,0.1,0.41,2001
444,LEGO Star Wars: The Video Game,Action,E,PS2,Eidos Interactive,Traveller's Tales,7.9,,,3.53,1.98,1.14,0.01,0.41,2005
445,Resident Evil 5,Action,M,X360,Capcom,Capcom,8.6,,,3.53,2.13,0.93,0.12,0.34,2009
446,Rugrats in Paris: The Movie,Action,E,PS,THQ,Avalanche Software,,,,3.52,1.96,1.33,,0.23,2000
447,NBA 2K17,Sports,E,PS4,2K Sports,Visual Concepts,9,,,3.52,2.28,0.59,0.03,0.63,2016
448,FIFA Soccer 11,Sports,E,X360,EA Sports,EA Canada,8.7,,,3.52,0.71,2.39,0.02,0.4,2010
449,Spyro 2: Ripto's Rage!,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,,3.52,2.14,1.21,0.01,0.17,1999
450,Left 4 Dead,Shooter,M,X360,Valve Corporation,Certain Affinity / Valve Software,8.7,9,,3.52,2.66,0.49,0.05,0.31,2008
451,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,E,SNES,Nintendo,Rare Ltd.,8.8,,3.51,,,,,,1996
452,Fable II,Role-Playing,M,X360,Microsoft Game Studios,Lionhead Studios,9,9.3,3.5,,,,,,2008
453,Kung Fu,Action,,NES,Nintendo,Irem Software Engineering,,,3.5,,,,,,1985
454,Resident Evil 3: Nemesis,Action,M,PS,Capcom,Capcom,9.4,,3.5,,,,,,1999
455,World of Warcraft: The Burning Crusade,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,,3.5,,,,,,2007
456,FIFA Soccer 2004,Sports,E,PS2,EA Sports,EA Canada,8,,,3.49,0.59,2.36,0.04,0.51,2003
457,Pokemon Mystery Dungeon: Blue Rescue Team,Role-Playing,E,DS,Nintendo,ChunSoft,6.3,,3.49,,,,,,2006
458,Mortal Kombat X,Fighting,M,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,,,,3.49,1.94,0.94,,0.61,2015
459,Battlefield: Bad Company 2,Shooter,M,X360,Electronic Arts,EA Digital Illusions CE,9,9.3,,3.48,2.11,1.01,0.04,0.33,2010
460,Borderlands,Shooter,M,X360,2K Games,Gearbox Software,8.3,,,3.48,2.43,0.72,0.03,0.3,2009
461,Mario & Sonic at the Olympic Winter Games,Sports,E,DS,Sega,Sega,7.6,,,3.47,1.21,1.63,0.27,0.37,2009
462,Dying Light,Action,,PC,Warner Bros. Interactive Entertainment,Techland,,,3.47,,,,,,2016
463,Guitar Hero: On Tour,Misc,E10,DS,Activision,Vicarious Visions,7.1,8.1,,3.46,2.1,1.01,0.01,0.35,2008
464,Dragon Ball Z: Budokai,Fighting,T,PS2,Atari,Dimps Corporation,,,3.46,,,,,,2002
465,Halo: The Master Chief Collection,Shooter,M,XOne,Microsoft Studios,343 Industries,,,,3.44,2.06,1.04,0.03,0.31,2014
466,LEGO Batman: The Videogame,Adventure,E10,X360,Warner Bros. Interactive,Traveller's Tales,7.5,,,3.44,2.07,1.04,,0.34,2008
467,Tekken 4,Fighting,T,PS2,Namco,Namco,7.9,,,3.44,1.55,1.27,0.33,0.29,2002
468,FIFA 14,Sports,E,PS4,EA Sports,EA Canada,,,,3.43,0.62,2.18,0.12,0.51,2013
469,LittleBigPlanet 2,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.1,,,3.43,1.83,1.07,0.06,0.47,2011
470,Grand Theft Auto 2,Action,,PS,Rockstar Games,DMA Design,6.9,,,3.42,1.13,2.07,,0.22,1999
471,Destiny,Shooter,T,XOne,Activision,Bungie,8.3,,,3.41,2.17,0.92,,0.32,2014
472,Spider-Man 2,Action,T,PS2,Activision,Treyarch,7.9,,,3.41,1.75,1.2,0.02,0.43,2004
473,F-1 Race,Racing,E,GB,Nintendo,Nintendo,,,3.41,,,,,,1991
474,World of Warcraft: Battle for Azeroth,MMO,,PC,Blizzard Entertainment,Blizzard Entertainment,,,3.4,,,,,,2018
475,FIFA Soccer 2003,Sports,E,PS2,EA Sports,EA Canada,,,,3.4,0.46,2.28,0.05,0.61,2002
476,Crash Bash,Misc,E,PS,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,,,3.39,1.56,1.47,0.19,0.17,2000
477,Gears of War 4,Shooter,M,XOne,Microsoft Studios,The Coalition,,,,3.38,2.17,0.9,,0.32,2016
478,Tekken: Dark Resurrection,Fighting,T,PSP,Namco Bandai,8ing/Raizing,8.7,,3.37,,,,,,2006
479,The Elder Scrolls V: Skyrim Special Edition,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Softworks,8.3,,,3.36,1.24,1.5,0.08,0.54,2016
480,Watch Dogs 2,Action,,PS4,Ubisoft,Ubisoft,,,,3.36,0.98,1.74,0.12,0.52,2016
481,The Legend of Zelda: Majora's Mask,Adventure,E,N64,Nintendo,Nintendo EAD,9.3,,3.36,,,,,,2000
482,WWF War Zone,Fighting,T,PS,Acclaim Entertainment,Iguana Entertainment,,,,3.36,2.47,0.76,,0.13,1998
483,Yoshi's Island DS,Platform,E,DS,Nintendo,Artoon,8.2,,3.36,,,,,,2006
484,Assassin's Creed IV: Black Flag,Action-Adventure,M,X360,Ubisoft,Ubisoft Montreal,8.5,,,3.34,1.9,1.14,0.01,0.3,2013
485,NBA 2K18,Sports,E10,PS4,2K Sports,Visual Concepts,8.1,,,3.34,2.13,0.57,0.04,0.59,2017
486,Big Brain Academy: Wii Degree,Misc,E,Wii,Nintendo,Nintendo EAD,7.1,,3.34,,,,,,2007
487,Rugrats: Search For Reptar,Adventure,E,PS,THQ,n-Space,,,,3.34,1.63,1.53,,0.18,1998
488,Luigi's Mansion,Action,E,GC,Nintendo,Nintendo EAD,7.9,,3.33,,,,,,2001
489,James Bond 007: Nightfire,Shooter,T,PS2,Electronic Arts,Eurocom Entertainment Software,,,,3.33,1.45,1.29,0.12,0.46,2002
490,Ratchet & Clank,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,,,,3.33,1.44,1.01,0.57,0.3,2002
491,Animal Crossing: Happy Home Designer,Simulation,E,3DS,Nintendo,Nintendo EAD,6.6,,3.32,,,,,,2015
492,Star Wars Episode III: Revenge of the Sith,Action,T,PS2,LucasArts,The Collective,,,,3.32,1.47,1.39,0.03,0.43,2005
493,Max Payne,Shooter,M,PS2,Rockstar Games,Remedy Entertainment,8.1,,,3.31,1.99,1.05,0.05,0.22,2001
494,Madden NFL 16,Sports,E,PS4,EA Sports,EA Tiburon,8.2,,,3.3,2.39,0.31,,0.61,2015
495,World of Warcraft: Legion,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,,,3.3,,,,,,2016
496,World of Warcraft: Warlords of Draenor,MMO,T,PC,Activision Blizzard,Blizzard Entertainment,,,3.3,,,,,,2014
497,Dark Souls III,Role-Playing,,PC,Namco Bandai Games,From Software,,,3.29,,,,,,2016
498,Dark Souls: Prepare to Die Edition,Role-Playing,M,PC,Namco Bandai Games,From Software,,,3.29,,,,,,2012
499,The Lord of the Rings: The Return of the King,Action,T,PS2,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,,,3.28,1.5,1.28,0.05,0.46,2003
500,Half-Life 2: Episode Two,Shooter,M,PC,Valve Software,Valve Corporation,9.1,,3.28,,,,,,2007
501,Madden NFL 17,Sports,E,PS4,EA Sports,EA Tiburon,8.5,,,3.28,2.3,0.37,,0.6,2016
502,True Crime: Streets of LA,Action,M,PS2,Activision,Luxoflux,,,,3.27,1.89,1.05,0.02,0.31,2003
503,Gran Turismo (PSP),Racing,E,PSP,Sony Computer Entertainment,Polyphony Digital,,,,3.27,0.51,1.59,0.31,0.86,2009
504,Far Cry 3,Shooter,,PS3,Ubisoft,Ubisoft Montreal,,,,3.27,0.88,1.79,0.1,0.5,2012
505,God of War: Chains of Olympus,Action,M,PSP,Sony Computer Entertainment,Ready at Dawn,8.9,9.5,3.26,,,,,,2008
506,FIFA 16,Sports,E,XOne,EA Sports,EA Canada,8.5,,,3.25,0.92,2.1,,0.24,2015
507,Tekken,Fighting,T,PS,Namco,Namco,8.3,,,3.24,0.95,1.3,0.77,0.22,1995
508,Flash Focus: Vision Training in Minutes a Day,Misc,E,DS,Nintendo,Bandai Namco Games,6.1,,3.23,,,,,,2007
509,007: Tomorrow Never Dies,Shooter,T,PS,Electronic Arts,Black Ops Entertainment,6.2,,,3.21,1.72,1.33,,0.16,1999
510,L.A. Noire,Adventure,M,PS3,Rockstar Games,Team Bondi,9.1,,,3.21,1.29,1.31,0.12,0.49,2011
511,Baseball,Sports,,NES,Nintendo,Nintendo,,,3.2,,,,,,1985
512,Dragon Quest IV,Role-Playing,,NES,Enix,ChunSoft,,,3.2,,,,,,1992
513,Dragon Quest VI: Maboroshi no Daichi,Role-Playing,,SNES,Enix,Heart Beat,,,3.2,,,,,,1995
514,Killer Instinct,Fighting,T,SNES,Nintendo,Rare Ltd.,,,3.2,,,,,,1995
515,WWF SmackDown! 2: Know Your Role,Fighting,T,PS,THQ,Yuke's,8.7,,,3.2,1.76,1.21,0.07,0.16,2000
516,Middle-Earth: Shadow of Mordor,Action,M,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,,,,3.19,1.03,1.6,0.05,0.51,2014
517,Assassin's Creed IV: Black Flag,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,8.3,,,3.19,1.07,1.55,0.06,0.51,2013
518,Personal Trainer: Cooking,Misc,E,DS,Nintendo,Nintendo EAD,8.4,,3.18,,,,,,2008
519,Enter the Matrix,Action,T,PS2,Atari,Shiny Entertainment,,,,3.18,1.78,1.12,0.09,0.19,2003
520,Assassin's Creed Odyssey,Action-Adventure,M,PS4,Ubisoft,Ubisoft Quebec,9.5,,,3.18,1.18,1.4,0.09,0.51,2018
